match_id,date,home_team,away_team,home_goals,away_goals,result,competition,season
1,2023-08-21,Bologna,AC Milan,0,2,W,Serie A,2023/24
2,2023-08-26,AC Milan,Torino,4,1,W,Serie A,2023/24
3,2023-09-01,Roma,AC Milan,1,2,W,Serie A,2023/24
4,2023-09-16,Inter Milan,AC Milan,5,1,L,Serie A,2023/24
5,2023-09-23,AC Milan,Verona,1,0,W,Serie A,2023/24
6,2023-09-27,Cagliari,AC Milan,1,3,W,Serie A,2023/24
7,2023-09-30,AC Milan,Lazio,2,0,W,Serie A,2023/24
8,2023-10-07,Genoa,AC Milan,0,1,W,Serie A,2023/24
9,2023-10-22,AC Milan,Juventus,0,1,L,Serie A,2023/24
10,2023-10-29,Napoli,AC Milan,2,2,D,Serie A,2023/24
11,2023-11-04,AC Milan,Udinese,0,1,L,Serie A,2023/24
12,2023-11-11,Lecce,AC Milan,2,2,D,Serie A,2023/24
13,2023-11-25,AC Milan,Fiorentina,1,0,W,Serie A,2023/24
14,2023-12-02,AC Milan,Frosinone,3,1,W,Serie A,2023/24
15,2023-12-09,Atalanta,AC Milan,3,2,L,Serie A,2023/24
16,2023-12-17,AC Milan,Monza,3,0,W,Serie A,2023/24
17,2023-12-22,Salernitana,AC Milan,2,2,D,Serie A,2023/24
18,2023-12-30,AC Milan,Sassuolo,1,0,W,Serie A,2023/24
19,2024-01-07,Empoli,AC Milan,0,3,W,Serie A,2023/24
20,2024-01-14,AC Milan,Roma,3,1,W,Serie A,2023/24
